Peak,RT,Start,End
Feature_4.16,4.16,4.1,4.22
Feature_4.34,4.34,4.28,4.4
Feature_4.53,4.53,4.495,4.565
Feature_4.68,4.68,4.63,4.73
Feature_4.84,4.84,4.8,4.88
Feature_5.17,5.17,5.11,5.23
Feature_5.27,5.27,5.22,5.32
Feature_5.54,5.54,5.51,5.57
Feature_5.79,5.79,5.755,5.825
Feature_6.27,6.27,6.17,6.37
Feature_6.59,6.59,6.535,6.645
Feature_6.91,6.91,6.865,6.955
Feature_6.98,6.98,6.94,7.02
Feature_7.26,7.26,7.225,7.295
Feature_7.42,7.42,7.39,7.45
Feature_7.57,7.57,7.53,7.61
Feature_7.74,7.74,7.705,7.775
Feature_7.84,7.84,7.775,7.905
Feature_7.97,7.97,7.905,8.035
Feature_8.09,8.09,8.055,8.125
Feature_8.22,8.22,8.12,8.32
Feature_8.48,8.48,8.445,8.515
Feature_8.6,8.6,8.545,8.655
Feature_8.66,8.66,8.615,8.705
Feature_8.77,8.77,8.68,8.86
Feature_8.99,8.99,8.915,9.065
Feature_9.16,9.16,9.115,9.205
Feature_9.57,9.57,9.525,9.615
Feature_9.67,9.67,9.64,9.7
Feature_9.79,9.79,9.75,9.83
Feature_10.38,10.38,10.34,10.42
Feature_10.53,10.53,10.5,10.56
Feature_10.9,10.9,10.865,10.935
Feature_11.17,11.17,11.115,11.225
Feature_11.35,11.35,11.27,11.43
Feature_11.49,11.49,11.4,11.58
Feature_11.66,11.66,11.585,11.735
Feature_11.83,11.83,11.745,11.915
Feature_12,12,11.945,12.055
Feature_12.1,12.1,12.055,12.145
Feature_12.26,12.26,12.17,12.35
Feature_12.36,12.36,12.33,12.39
Feature_12.42,12.42,12.36,12.48
Feature_12.59,12.59,12.51,12.67
Feature_12.76,12.76,12.66,12.86
Feature_12.98,12.98,12.945,13.015
Feature_13.27,13.27,13.235,13.305
Feature_13.34,13.34,13.285,13.395
Feature_13.57,13.57,13.485,13.655
Feature_13.71,13.71,13.645,13.775
Feature_13.83,13.83,13.77,13.89
Feature_14.01,14.01,13.96,14.06
Feature_14.11,14.11,14.065,14.155
Feature_14.37,14.37,14.325,14.415
Feature_14.49,14.49,14.44,14.54
Feature_14.55,14.55,14.5,14.6
Feature_14.78,14.78,14.755,14.805
Feature_14.92,14.92,14.86,14.98
Feature_15.05,15.05,15.005,15.095
Feature_15.13,15.13,15.1,15.16
Feature_15.29,15.29,15.255,15.325
Feature_15.37,15.37,15.285,15.455
Feature_15.55,15.55,15.52,15.58
Feature_15.65,15.65,15.625,15.675
Feature_15.74,15.74,15.69,15.79
Feature_15.87,15.87,15.8,15.94
Feature_16.03,16.03,15.97,16.09
Feature_16.17,16.17,16.105,16.235
Feature_16.38,16.38,16.335,16.425
Feature_16.49,16.49,16.405,16.575
Feature_16.66,16.66,16.585,16.735
Feature_16.97,16.97,16.885,17.055
Feature_17.13,17.13,17.09,17.17
Feature_17.21,17.21,17.14,17.28
Feature_17.43,17.43,17.37,17.49
Feature_17.85,17.85,17.78,17.92
Feature_18.02,18.02,17.965,18.075
Feature_18.12,18.12,18.065,18.175
Feature_18.2,18.2,18.165,18.235
Feature_18.34,18.34,18.29,18.39
Feature_18.51,18.51,18.44,18.58
Feature_18.88,18.88,18.81,18.95
Feature_18.97,18.97,18.865,19.075
Feature_19.22,19.22,19.15,19.29
Feature_19.32,19.32,19.24,19.4
Feature_19.5,19.5,19.455,19.545
Feature_19.58,19.58,19.505,19.655
Feature_19.78,19.78,19.69,19.87
Feature_20.01,20.01,19.97,20.05
Feature_20.15,20.15,20.105,20.195
Feature_20.88,20.88,20.81,20.95
Feature_21,21,20.9,21.1
Feature_21.41,21.41,21.265,21.555
Feature_21.92,21.92,21.81,22.03
Feature_22.14,22.14,22.1,22.18
Feature_22.23,22.23,22.2,22.26
Feature_22.37,22.37,22.295,22.445
Feature_23.2,23.2,23.135,23.265
Feature_23.33,23.33,23.275,23.385
Feature_23.69,23.69,23.59,23.79
Feature_24.09,24.09,23.95,24.23
Feature_24.48,24.48,24.395,24.565
Feature_24.63,24.63,24.51,24.75
Feature_24.85,24.85,24.81,24.89
Feature_24.95,24.95,24.835,25.065
Feature_25.72,25.72,25.625,25.815
Feature_25.85,25.85,25.785,25.915
Feature_26.17,26.17,26.055,26.285
Feature_26.57,26.57,26.44,26.7
Feature_26.91,26.91,26.87,26.95
Feature_27.04,27.04,26.995,27.085
Feature_27.15,27.15,27.07,27.23
Feature_27.35,27.35,27.235,27.465
Feature_27.91,27.91,27.845,27.975
Feature_28.06,28.06,27.97,28.15
Feature_28.19,28.19,28.11,28.27
Feature_28.49,28.49,28.37,28.61
Feature_28.88,28.88,28.795,28.965
Feature_29.05,29.05,29.015,29.085
Feature_29.18,29.18,29.145,29.215
Feature_29.3,29.3,29.27,29.33
Feature_29.59,29.59,29.51,29.67
Feature_29.79,29.79,29.71,29.87
Feature_30.38,30.38,30.345,30.415
Feature_30.49,30.49,30.455,30.525
Feature_30.66,30.66,30.615,30.705
Feature_30.74,30.74,30.64,30.84
Feature_31.03,31.03,30.9,31.16
Feature_31.28,31.28,31.165,31.395
Feature_31.69,31.69,31.575,31.805
Feature_32.25,32.25,32.2,32.3
Feature_32.7,32.7,32.64,32.76
Feature_33.09,33.09,32.985,33.195
Feature_33.66,33.66,33.565,33.755
Feature_35.01,35.01,34.86,35.16
Feature_35.34,35.34,34.94,35.74
Feature_37.36,37.36,37.29,37.43
